"campus","method","survey_year","site","latitude","longitude","mpa_group","site_status","mlpa_region","time_series_category","n.swath.tx","den_ACALUT","den_ACTBRA","den_ALAMAR","den_ANEM","den_ANTART","den_ANTBAR","den_ANTELE","den_ANTSOL","den_ANTSPP","den_ANTXAN","den_APAPRI","den_APLCAL","den_APLVAC","den_APOCAL","den_APOPAR","den_APOSPP","den_ARBSTE","den_ASTARM","den_ASTSER","den_ASTSPP","den_BALNUB","den_BAPMIM","den_BERCAL","den_CADLIM","den_CALDLUT","den_CANSPP","den_CENCOR","den_CERFOL","den_CERPTE","den_COSCOS","den_CRAARB","den_CRAGIG","den_CRIALB","den_CRYSIT","den_CRYSTE","den_CUCMIN","den_DERIMB","den_DESLIG","den_DIASAN","den_DICSPP","den_DIOASP","den_DORALB","den_DORMON","den_EGRMEN","den_EISARBAD","den_EISARBADSUB","den_ENTDOF","den_EPIPRO","den_EUGRUB","den_EVATRO","den_FELCAL","den_FELMAC","den_FELPOR","den_FISBIM","den_FLAIOD","den_GORGAD","den_HALCOR","den_HALCRA","den_HALFUL","den_HALKAM","den_HALRUF","den_HALSOR","den_HALSPP","den_HALWAL","den_HENLEV","den_HENSPP","den_HERCRA","den_HOLZAC","den_KELKEL","den_LAMFAR","den_LAMSETAD","den_LAMSETADSUB","den_LAMSPP","den_LAMSTUMP","den_LEPCHI","den_LEPHEX","den_LINCOL","den_LOPMAN","den_LOPSPP","den_LOXGRA","den_LOXSCY","den_LUIFOL","den_LYTPIC","den_MACPYRAD","den_MACSTIPES","den_MEDAEQ","den_MEGCRE","den_MEGSPP","den_MEGUND","den_MESFRAAD","den_MESFRAREC","den_METSPP","den_MURCAL","den_MURFRU","den_NAVINE","den_NEOFIM","den_NEOSPA","den_NERLUE","den_NEVLEW","den_NO_ORG","den_NUCLAM","den_OCTOPUS","den_OPHESM","den_OPHPAN","den_ORTKOE","den_PACFIM","den_PANDAN","den_PANINT","den_PATMIN","den_PELNOB","den_PELPOR","den_PHYPAP","den_PISBRE","den_PISGIG","den_PISOCH","den_PISSPP","den_PLEGAR","den_PODMAC","den_POLTRI","den_POMGIB","den_PORINF","den_PSEMON","den_PSOCHI","den_PTECALAD","den_PTECALADSUB","den_PTESTE","den_PTETES","den_PUGFOL","den_PUGPRO","den_PUGRIC","den_PUGSPP","den_PYCHEL","den_SACLAT","den_SARAGA","den_SARHOR","den_SARMUT","den_SARPAL","den_SARSPP","den_SCLHET","den_SOLDAW","den_SOLSPP","den_SOLSTI","den_STEDIOAD","den_STEOSMAD","den_STRDRO","den_STRPURAD","den_STRPURREC","den_STYCAL","den_STYFOR","den_STYMON","den_TALNUT","den_TEGREG","den_TELSPB","den_TEST","den_TETCAL","den_TRICAT","den_TRIHEL","den_TYLFUN","den_UNDPIN","den_UNIDSP","den_URTCOL","den_URTCOLMCP","den_URTCOR","den_URTCRA","den_URTMCP","den_URTPIS","den_URTSPP"
"UCSB","SBTL_SWATH_PISCO","2015","SRI_SOUTH_POINT_E","33.891567","-120.1192","South Point SMR","mpa","SOUTH","1","6",,,"0",,,,,"39.8333333333333",,"0",,"2","0","0","0.333333333333333",,,"0","0",,"0",,,,,"0","0.166666666666667",,,"0",,"2.66666666666667","2.16666666666667","0","0",,"0.333333333333333",,,,,,,,,"42.1666666666667",,,"0",,,,,,,,"0","0","0","0","0.333333333333333","0","0","0","0.166666666666667",,,,"0","78.5",,"0.166666666666667",,,"0","0","0.333333333333333",,,"0","0","0","0","34","271.5","0","0",,"0","15.5",,"0","0","0",,"0","2.66666666666667","0",,"0",,"0",,,"0","0.333333333333333",,"0","13.5",,"0",,"0","0","0",,,,,"0",,,,,"74.5",,,"0","0","0",,"0",,,,,,,,,,,,"131",,"100.166666666667",,,"0","14.1666666666667",,"0",,,"4",,,,"0",,,"4.16666666666667","0","0",,"0",
"UCSB","SBTL_SWATH_PISCO","2015","SRI_SOUTH_POINT_W","33.894167","-120.124883","South Point SMR","mpa","SOUTH","1","6",,,"0",,,,,"26.8333333333333",,"0",,"0.333333333333333","0","0","4.16666666666667",,,"0","0",,"0.166666666666667",,,,,"0","0",,,"0",,"3.33333333333333","7.33333333333333","0","0",,"0.166666666666667",,,,,,,,,"11.3333333333333",,,"0",,,,,,,,"0","0","0","0","1.16666666666667","0","0","0","0.5",,,,"0","3.16666666666667",,"0.166666666666667",,,"0.166666666666667","0","0.666666666666667",,,"0","0","0","0","9.16666666666667","118.833333333333","0","0.5",,"0.166666666666667","434.666666666667",,"0","0","0",,"0","13.6666666666667","0",,"0",,"0",,,"0","1.5",,"0.166666666666667","29.3333333333333",,"0",,"0","0.5","0",,,,,"0",,,,,"12.5",,,"0","0","0",,"0",,,,,,,,,,,,"5.16666666666667",,"731.5",,,"0","1.5",,"0",,,"10",,,,"0",,,"0.5","0","0",,"0",
"UCSB","SBTL_SWATH_PISCO","2016","ANACAPA_EAST_ISLE_CEN","34.017667","-119.363683","Anacapa Island SMR","mpa","SOUTH","1","4",,,"0",,,,,"0.75",,"0",,"2.25","0","0","8.75",,,"0","0",,"0",,,,,"0","29.5",,,"0",,"8.5","0","0","0",,"0",,,,,,,,"29.5","97.75",,,"0",,,,,,,,"0.25","0","0","0","0","0","0","0","0",,,,"1.75","74","0","0",,,"0.25","0","0",,,"0","0","0","0","18.5","91.75","0","0.25",,"2.25","12.75",,"0","0.5","0",,"0","0.5","0",,"0",,"0.75",,,"0","0.25",,"2.25","0",,"0",,"0","0","0",,,,,"0",,,,"0","1",,,"0","0","0",,"0",,,,,,,,,,,,"20.75",,"8.25",,,"0","0",,"0.25",,,"0",,,,"0",,,"1.25","0","0",,"0",
"UCSB","SBTL_SWATH_PISCO","2016","ANACAPA_EAST_ISLE_E","34.017033","-119.361133","Anacapa Island SMR","mpa","SOUTH","1","4",,,"0",,,,,"9.5",,"0",,"1","0","0","20",,,"0","0",,"0.25",,,,,"0","19.25",,,"0",,"10.25","0","0","0",,"0",,,,,,,,"12","47",,,"0.75",,,,,,,,"0","0","0","0","0","0","0","0","0",,,,"2.5","80.75","0","0",,,"2","0","0",,,"0","0","0","0","17.25","66.75","0","0",,"5.75","9.75",,"0","0.25","0",,"0","1.25","0",,"0",,"0.75",,,"0","1.25",,"2.5","0",,"0",,"0","0","0",,,,,"0",,,,"0","0.75",,,"0","0","0",,"0",,,,,,,,,,,,"72.75",,"16.25",,,"0","0",,"0.5",,,"0.25",,,,"0",,,"1.25","0","0",,"0",
"UCSB","SBTL_SWATH_PISCO","2016","ANACAPA_EAST_ISLE_W","34.015867","-119.371733","Anacapa Island SMR","mpa","SOUTH","1","4",,,"0",,,,,"7",,"0",,"2.25","1","0","10.25",,,"0","0",,"0",,,,,"0","4.75",,,"0",,"2","0","0","0",,"0",,,,,,,,"7.25","47.75",,,"0",,,,,,,,"0","0","0.25","0","0","0","0","0","0",,,,"0","83.25","0","0",,,"0","0","0",,,"0","1","0","0","31.5","151.5","0","0.25",,"9.5","7.25",,"0","0","0",,"0","2.25","0",,"0",,"0.25",,,"0","1.75",,"1.75","0",,"0",,"0","0","0",,,,,"0",,,,"0","0.25",,,"0","0","0",,"0",,,,,,,,,,,,"126.25",,"2",,,"0","0",,"0",,,"0.25",,,,"0",,,"0.5","0","0",,"0",
"UCSB","SBTL_SWATH_PISCO","2016","ANACAPA_LIGHTHOUSE_REEF_CEN","34.012783","-119.363133","Anacapa Island SMR","reference","SOUTH","1","4",,,"0",,,,,"40.5",,"0",,"1.5","1.75","0","5.25",,,"0","0",,"0",,,,,"0","14.5",,,"0",,"2.25","0","0","0",,"0",,,,,,,,"0","0",,,"0",,,,,,,,"0","0","0","0","0","0","0","0","0",,,,"3.25","0","0","0",,,"1.5","0","0",,,"0","0","0","0","0","0","0","5.5",,"3.5","53",,"0","6.75","0",,"0","0.75","0",,"0",,"0.25",,,"0","9.25",,"0","2",,"0",,"0","0","0",,,,,"0",,,,"0","0",,,"0","0","0",,"0",,,,,,,,,,,,"0",,"253",,,"0","0",,"0",,,"1",,,,"0",,,"1","0","0",,"0",
"UCSB","SBTL_SWATH_PISCO","2016","ANACAPA_LIGHTHOUSE_REEF_E","34.0139","-119.36","Anacapa Island SMR","reference","SOUTH","1","4",,,"0",,,,,"23.25",,"0",,"0","2.75","0","2.25",,,"0","0",,"0",,,,,"0","61.25",,,"0",,"1","0","0","0",,"0",,,,,,,,"0","0",,,"0",,,,,,,,"0","0","0","0","0","0","0","0","0",,,,"1.25","0","0","0",,,"0.25","0","0",,,"0.25","0","0","0.25","0","0","0","0.75",,"18.5","28.25",,"0","2.5","0",,"0","1","0",,"0",,"0",,,"0","4.5",,"0.75","0",,"0",,"0","0","0",,,,,"0",,,,"0","0",,,"0","0","0",,"0",,,,,,,,,,,,"0",,"133.5",,,"0","0",,"0.75",,,"0.5",,,,"0",,,"0.75","0","0",,"0",
"UCSB","SBTL_SWATH_PISCO","2016","ANACAPA_LIGHTHOUSE_REEF_W","34.010783","-119.3725","Anacapa Island SMR","reference","SOUTH","1","4",,,"0",,,,,"313.75",,"0",,"1","6","0","0.75",,,"0","0",,"0",,,,,"0","11.5",,,"0",,"0","0","0","0",,"0",,,,,,,,"4.5","6.75",,,"0",,,,,,,,"0","0","0","0","0","0","0","0","0",,,,"1","0","0","0",,,"0","0","0",,,"0.25","0","0","1","0","0","0","0.75",,"6","41",,"0","3","0",,"0","2","0",,"0",,"0.25",,,"0","4.75",,"0","0",,"0",,"0","0","0",,,,,"0",,,,"0","0",,,"0","0","0",,"0",,,,,,,,,,,,"1.75",,"482.25",,,"0","0",,"0.25",,,"2",,,,"0",,,"1.25","0","0",,"0",
"UCSB","SBTL_SWATH_PISCO","2016","ANACAPA_MIDDLE_ISLE_CEN","34.0100609","-119.3877751","Anacapa Island SMR","mpa","SOUTH","1","4",,,"0",,,,,"0",,"0",,"0","0","0","59.75",,,"0","0",,"0",,,,,"0","142.75",,,"0",,"2","0","0","0",,"0",,,,,,,,"0","4",,,"0",,,,,,,,"0","0","0","0","0","0","0","0","0",,,,"3.5","0.25","0","0",,,"0","0","0",,,"0","0","0","0","2.25","5.25","0","0",,"10","2",,"0","0.75","0",,"0","0.25","0",,"0",,"0.25",,,"0","3",,"2","0",,"0",,"0","0","0",,,,,"0",,,,"0","0",,,"0","0","0",,"0",,,,,,,,,,,,"24.75",,"11",,,"0","0",,"0.25",,,"0",,,,"0",,,"0.25","0","0",,"0",
"UCSB","SBTL_SWATH_PISCO","2016","ANACAPA_MIDDLE_ISLE_E","34.0085","-119.388167","Anacapa Island SMR","mpa","SOUTH","1","4",,,"0",,,,,"0.25",,"0",,"0.5","0","0","16.5",,,"0","0",,"0",,,,,"0","85.75",,,"0",,"0.5","0","0","0",,"0",,,,,,,,"0","54",,,"0",,,,,,,,"0.25","0","0","0","0","0","0","0","0",,,,"0.5","10.25","0","0",,,"0","0","0",,,"0","0","0","0","3","12.25","0","2.25",,"28.5","4.75",,"0","0.25","0",,"0","0.25","0",,"0",,"0.25",,,"0","0.75",,"2.75","0",,"0",,"0","0","0",,,,,"0",,,,"0","0",,,"0","0","0",,"0",,,,,,,,,,,,"12.75",,"10.5",,,"0","0",,"0",,,"0",,,,"0",,,"0.25","0","0",,"0",
