studyName,cruise,cycle,"size_fraction (mm)",day_night,"biomass_mean (mg/m³)","biomass_std (mg/m³)",biomass_n,"biomass_95cl (mg/m³)","int_biomass_mean (mg/m²)","int_biomass_std (mg/m²)",int_biomass_n,"int_biomass_95cl (mg/m²)",chl_phaeo_mean,chl_phaeo_std,chl_phaeo_n,chl_phaeo_95cl,int_chl_phaeo_mean,int_chl_phaeo_std,int_chl_phaeo_n,int_chl_phaeo_95cl,grazing_rate_mean,grazing_rate_std,grazing_rate_n,grazing_rate_95cl,"int_grazing_rate_mean (µg/m²/day)","int_grazing_rate_std (µg/m²/day)",int_grazing_rate_n,"int_grazing_rate_95cl (µg/m²/day)","int_grazing_rate_mg_mean (mg/m²/day)","int_grazing_rate_mg_std (mg/m²/day)",int_grazing_rate_mg_n,"int_grazing_rate_mg_95cl (mg/m²/day)","mass_specific_grazing_mean (ug/mg)","mass_specific_grazing_std (ug/mg)",mass_specific_grazing_n,"mass_specific_grazing_95cl (ug/mg)",mass_specific_grazing_rate_mean,mass_specific_grazing_rate_std,mass_specific_grazing_rate_n,mass_specific_grazing_rate_95cl
P1604,P1604,2,5,"D-N average",0.729836,0.230345,6,0.241733,143.937,42.6809,6,44.7909,0.00300466,0.00384981,6,0.00404013,0.603002,0.781082,6,0.819695,0.00638728,0.00818389,6,0.00858846,30.7645,39.85,6,41.82,0.0307645,0.0368549,6,0.0386769,0.00346177,0.00332042,6,0.00348456,0.176616,0.169404,6,0.177779
P1604,P1604,2,2,"D-N average",1.59461,0.608281,6,0.638352,316.21,122.176,6,128.216,0.00708782,0.00638779,6,0.00670358,1.43946,1.32565,6,1.39118,0.0150672,0.0135791,6,0.0142504,73.44,67.6332,6,70.9767,0.07344,0.065937,6,0.0691966,0.00435655,0.0039646,6,0.00416059,0.222267,0.20227,6,0.212269
P1604,P1604,2,1,"D-N average",0.474774,0.324467,6,0.340507,95.6014,67.5022,6,70.8392,0.00424275,0.00194191,6,0.00203791,0.842238,0.399092,6,0.418821,0.00901919,0.00412809,6,0.00433216,42.9701,20.3613,6,21.3678,0.0429701,0.0229579,6,0.0240928,0.0122463,0.00859181,6,0.00901656,0.624793,0.438346,6,0.460016
P1604,P1604,2,0.5,"D-N average",0.234834,0.105322,6,0.110529,47.4379,22.6616,6,23.7819,0.00444363,0.00279217,6,0.0029302,0.868998,0.52569,6,0.551677,0.00944624,0.00593557,6,0.006229,44.3354,26.8201,6,28.146,0.0443354,0.0245365,6,0.0257495,0.0220027,0.0202372,6,0.0212376,1.12256,1.03248,6,1.08352
P1604,P1604,2,0.2,"D-N average",0.228829,0.0940443,6,0.0986934,45.8242,20.1848,6,21.1826,0.00340453,0.000733321,6,0.000769573,0.681243,0.1726,6,0.181132,0.00723732,0.00155889,6,0.00163595,34.7563,8.80586,6,9.24118,0.0347563,0.0179625,6,0.0188505,0.0163387,0.00575119,6,0.00603551,0.833582,0.29342,6,0.307925
P1604,P1604,2,Total,"D-N average",3.26289,1.1468,6,1.20349,649.011,236.056,6,247.725,0.0221834,0.0103487,6,0.0108603,4.43494,2.17283,6,2.28024,0.0471572,0.0219992,6,0.0230868,226.266,110.855,6,116.336,0.226266,0.110855,6,0.116336,0.00662957,0.00195394,6,0.00205053,0.338234,0.0996881,6,0.104616
P1604,P1604,3,5,Day,1.31058,,1,,281.289,,1,,0.00508551,,1,,1.0915,,1,,0.0105046,,1,,54.1102,,1,,0.0541102,,1,,0.00388035,,1,,0.192365,,1,
P1604,P1604,3,2,Day,0.994791,,1,,213.511,,1,,0.0247998,,1,,5.32278,,1,,0.0512263,,1,,263.872,,1,,0.263872,,1,,0.0249297,,1,,1.23587,,1,
P1604,P1604,3,1,Day,5.45187,,1,,1170.13,,1,,0.0609615,,1,,13.0841,,1,,0.125921,,1,,648.635,,1,,0.648635,,1,,0.0111818,,1,,0.554327,,1,
P1604,P1604,3,0.5,Day,2.14842,,1,,461.115,,1,,0.0351502,,1,,7.54427,,1,,0.0726059,,1,,374.001,,1,,0.374001,,1,,0.0163609,,1,,0.811079,,1,
