Year,Region,"Mesozooplankton C biomass (log10) (mg/m²)","CI95 (mg/m²)"
1951,SC,2.79766,0.076761382
1952,SC,2.82433,
1953,SC,2.91193,0.214170659
1954,SC,2.86542,
1955,SC,3.15739,
1956,SC,3.10496,0.183991063
1957,SC,3.23754,
1958,SC,2.7327,
1959,SC,2.89138,
1960,SC,2.93648,
1961,SC,2.92896,
1962,SC,2.91193,
1963,SC,2.86272,
1964,SC,3.0318,
1965,SC,2.68732,
1966,SC,2.91862,0.164154959
1967,SC,,
1968,SC,,
1969,SC,3.3632,
1970,SC,,
1971,SC,,
1972,SC,2.71217,0.254684792
1973,SC,,
1974,SC,3.13973,0.203943937
1975,SC,3.16589,
1976,SC,2.83526,
1977,SC,3.14573,
1978,SC,3.0622,
1979,SC,2.95721,0.241084145
1980,SC,3.10979,0.161734178
1981,SC,3.24254,
1982,SC,3.03958,
1983,SC,2.71508,
1984,SC,2.83054,0.262961572
1985,SC,3.32947,
1986,SC,3.13852,0.131280864
1987,SC,3.05066,
1988,SC,3.18749,
1989,SC,3.18848,
1990,SC,3.05637,
1991,SC,2.81873,0.192078094
1992,SC,2.79746,
1993,SC,2.70952,
1994,SC,2.82644,
1995,SC,2.70223,0.109901564
1996,SC,3.17157,
1997,SC,2.64459,0.216665524
1998,SC,2.65714,0.200605496
1999,SC,3.10694,
2000,SC,3.20861,
2001,SC,3.11324,
2002,SC,3.234,
2003,SC,3.30607,
2004,SC,2.89948,
2005,SC,3.11911,
2006,SC,,
2007,SC,,
2008,SC,,
