studyName,cruise,cycle,"size_fraction  (mm)",day_night,"biomass_mean (mg/m³)","biomass_std (mg/m³)",biomass_n,"biomass_95cl (mg/m³)","int_biomass_mean (mg/m²)","int_biomass_std (mg/m²)",int_biomass_n,"int_biomass_95cl (mg/m²)"
P0605KN,P0605,5,Total,Night,5.57507,0.993874,4,2,1181.9,204.588,4,325.545
P0605KN,P0605,5,5,"D-N average",0.173104,0.272495,8,0,36.5241,57.2556,8,47.8669
P0605KN,P0605,5,2,"D-N average",0.463506,0.382779,8,0,98.1343,80.9193,8,67.6502
P0605KN,P0605,5,1,"D-N average",1.13597,0.996017,8,1,240.744,210.693,8,176.144
P0605KN,P0605,5,0.5,"D-N average",1.15433,0.695347,8,1,244.88,148.312,8,123.992
P0605KN,P0605,5,0.2,"D-N average",0.567129,0.208468,8,0,120.122,44.0791,8,36.8511
P0605KN,P0605,5,Total,"D-N average",3.49405,2.3311,8,2,740.404,493.407,8,412.499
P0704TN,P0704,1,5,Day,0.381083,0.365437,4,1,69.0856,64.7957,4,103.104
P0704TN,P0704,1,2,Day,0.591377,0.199136,4,0,107.137,39.0433,4,62.1267
P0704TN,P0704,1,1,Day,2.08036,1.03126,4,2,370.399,171.183,4,272.39
P0704TN,P0704,1,0.5,Day,5.49942,4.41189,4,7,968.633,747.781,4,1189.89
P0704TN,P0704,1,0.2,Day,18.2299,9.83203,4,16,3259.42,1653.01,4,2630.3
P0704TN,P0704,1,Total,Day,26.7822,14.3959,4,23,4774.67,2393.61,4,3808.77
P0704TN,P0704,1,5,Night,10.7576,5.79139,4,9,2119.98,64.7957,4,103.104
P0704TN,P0704,1,2,Night,13.8659,7.96914,4,13,2704.23,39.0433,4,62.1267
P0704TN,P0704,1,1,Night,6.30366,5.36978,4,9,1224.49,171.183,4,272.39
P0704TN,P0704,1,0.5,Night,7.19261,5.79574,4,9,1396.9,747.781,4,1189.89
P0704TN,P0704,1,0.2,Night,7.07294,1.94313,4,3,1386.7,1653.01,4,2630.3
P0704TN,P0704,1,Total,Night,45.1927,17.648,4,28,8832.3,2393.61,4,3808.77
P0704TN,P0704,1,5,"D-N average",5.56936,6.72274,8,6,1094.53,1328.45,8,1110.61
P0704TN,P0704,1,2,"D-N average",7.22863,8.808,8,7,1405.68,1708.14,8,1428.04
P0704TN,P0704,1,1,"D-N average",4.19201,4.23196,8,4,797.446,813.076,8,679.749
P0704TN,P0704,1,0.5,"D-N average",6.34602,4.85357,8,4,1182.76,897.761,8,750.547
P0704TN,P0704,1,0.2,"D-N average",12.6514,8.8664,8,7,2323.06,1493.93,8,1248.96
P0704TN,P0704,1,Total,"D-N average",35.9875,17.8645,8,15,6803.48,3443.21,8,2878.59
P0704TN,P0704,2,5,Day,0.0312698,0.018371,4,0,6.01095,3.45553,4,5.49852
P0704TN,P0704,2,2,Day,0.152246,0.0833458,4,0,29.9528,17.8729,4,28.4398
P0704TN,P0704,2,1,Day,0.629081,0.159086,4,0,120.535,14.9306,4,23.7578
P0704TN,P0704,2,0.5,Day,0.640943,0.239014,4,0,121.931,29.7274,4,47.3029
P0704TN,P0704,2,0.2,Day,1.50086,0.44085,4,1,292.023,88.8096,4,141.316
P0704TN,P0704,2,Total,Day,2.9544,0.717911,4,1,570.453,108.945,4,173.356
P0704TN,P0704,2,5,Night,0.615793,0.0977385,4,0,119.886,19.8972,4,31.6609
P0704TN,P0704,2,2,Night,1.2738,0.376772,4,1,245.585,63.3884,4,100.865
P0704TN,P0704,2,1,Night,2.33263,0.420563,4,1,452.064,66.9865,4,106.59
P0704TN,P0704,2,0.5,Night,1.30226,0.270472,4,0,253.109,52.664,4,83.8001
P0704TN,P0704,2,0.2,Night,1.91485,0.806582,4,1,363.703,118.807,4,189.048
P0704TN,P0704,2,Total,Night,7.43933,1.7052,4,3,1434.35,234.005,4,372.354
P0704TN,P0704,2,5,"D-N average",0.323531,0.319152,8,0,62.9484,62.288,8,52.0741
P0704TN,P0704,2,2,"D-N average",0.713023,0.650548,8,1,137.769,123.061,8,102.881
P0704TN,P0704,2,1,"D-N average",1.48085,0.956982,8,1,286.3,182.816,8,152.838
P0704TN,P0704,2,0.5,"D-N average",0.9716,0.425193,8,0,187.52,80.5223,8,67.3184
P0704TN,P0704,2,0.2,"D-N average",1.70785,0.641154,8,1,327.863,104.391,8,87.2732
P0704TN,P0704,2,Total,"D-N average",5.19686,2.68591,8,2,1002.4,491.719,8,411.087
P0704TN,P0704,3,5,Day,0.226692,,1,,55.2048,,1,
P0704TN,P0704,3,2,Day,1.30123,,1,,316.88,,1,
P0704TN,P0704,3,1,Day,1.78397,,1,,434.439,,1,
P0704TN,P0704,3,0.5,Day,4.20988,,1,,1025.2,,1,
P0704TN,P0704,3,0.2,Day,2.94644,,1,,717.526,,1,
P0704TN,P0704,3,Total,Day,10.4682,,1,,2549.25,,1,
P0704TN,P0704,3,5,Night,11.444,,1,,2022.82,,1,
P0704TN,P0704,3,2,Night,21.8811,,1,,3867.68,,1,
P0704TN,P0704,3,1,Night,6.03919,,1,,1067.48,,1,
P0704TN,P0704,3,0.5,Night,9.18718,,1,,1623.92,,1,
P0704TN,P0704,3,0.2,Night,5.82026,,1,,1028.78,,1,
P0704TN,P0704,3,Total,Night,54.3717,,1,,9610.68,,1,
P0704TN,P0704,3,5,"D-N average",5.83533,7.93182,2,71,1039.01,1391.32,2,12500.5
P0704TN,P0704,3,2,"D-N average",11.5912,14.5522,2,131,2092.28,2510.79,2,22558.6
P0704TN,P0704,3,1,"D-N average",3.91158,3.00889,2,27,750.96,447.628,2,4021.78
P0704TN,P0704,3,0.5,"D-N average",6.69853,3.51948,2,32,1324.56,423.354,2,3803.68
P0704TN,P0704,3,0.2,"D-N average",4.38335,2.0321,2,18,873.154,220.091,2,1977.44
P0704TN,P0704,3,Total,"D-N average",32.42,31.0445,2,279,6079.97,4993.19,2,44862
P0704TN,P0704,4,5,Day,2.35387,3.17081,4,5,306.784,540.205,4,859.587
P0704TN,P0704,4,2,Day,1.66231,1.10196,4,2,242.869,205.908,4,327.646
P0704TN,P0704,4,1,Day,1.99309,0.367552,4,1,375.407,48.9471,4,77.8858
P0704TN,P0704,4,0.5,Day,4.48752,0.779884,4,1,798.021,129.91,4,206.715
P0704TN,P0704,4,0.2,Day,8.00096,1.81072,4,3,1367.21,372.152,4,592.177
P0704TN,P0704,4,Total,Day,18.4977,5.93693,4,9,3090.29,934.91,4,1487.65
P0704TN,P0704,4,5,Night,3.9267,2.8143,4,4,696.41,494.036,4,786.121
P0704TN,P0704,4,2,Night,7.68056,3.48869,4,6,1350.99,533.699,4,849.235
P0704TN,P0704,4,1,Night,5.81651,1.46739,4,2,1067.17,341.088,4,542.747
P0704TN,P0704,4,0.5,Night,6.5056,1.76526,4,3,1196.21,410.052,4,652.484
P0704TN,P0704,4,0.2,Night,6.23043,2.19859,4,3,1111.07,310.969,4,494.821
P0704TN,P0704,4,Total,Night,30.1598,4.01136,4,6,5421.85,377.089,4,600.032
P0704TN,P0704,4,5,"D-N average",2.8465,3.00613,8,3,501.597,522.535,8,436.85
P0704TN,P0704,4,2,"D-N average",4.48265,4.17422,8,3,796.927,700.769,8,585.858
P0704TN,P0704,4,1,"D-N average",3.89199,2.28333,8,2,721.287,433.141,8,362.115
P0704TN,P0704,4,0.5,"D-N average",5.33681,1.7769,8,1,997.117,352.981,8,295.1
P0704TN,P0704,4,0.2,"D-N average",6.66535,1.92171,8,2,1239.14,345.751,8,289.055
P0704TN,P0704,4,Total,"D-N average",23.2233,8.77443,8,7,4256.07,1410.22,8,1178.98
P0810MV,P0810,1,5,Day,0.550707,0.405272,3,1,113.599,84.2298,3,209.238
P0810MV,P0810,1,2,Day,1.5587,0.896997,3,2,317.731,179.978,3,447.091
P0810MV,P0810,1,1,Day,0.896381,0.603278,3,1,184.66,125.402,3,311.515
P0810MV,P0810,1,0.5,Day,0.584423,0.0734617,3,0,120.12,15.0555,3,37.3999
P0810MV,P0810,1,0.2,Day,1.27877,0.658105,3,2,260.756,130.704,3,324.686
P0810MV,P0810,1,Total,Day,4.86899,2.30531,3,6,996.866,469.282,3,1165.76
P0810MV,P0810,1,5,Night,0.860772,1.18818,3,3,182.745,256.718,3,637.723
P0810MV,P0810,1,2,Night,2.57741,2.44229,3,6,545.702,529.626,3,1315.66
P0810MV,P0810,1,1,Night,3.91725,2.07994,3,5,808.019,402.995,3,1001.09
P0810MV,P0810,1,0.5,Night,2.82151,0.22826,3,1,594.727,74.9482,3,186.182
P0810MV,P0810,1,0.2,Night,1.76632,1.50714,3,4,386.259,336.488,3,835.882
P0810MV,P0810,1,Total,Night,11.9433,4.85854,3,12,2517.45,1070.81,3,2660.05
P0810MV,P0810,1,5,"D-N average",0.70574,0.811942,6,1,148.172,175.025,6,183.678
P0810MV,P0810,1,2,"D-N average",2.06806,1.73755,6,2,431.716,375.166,6,393.713
P0810MV,P0810,1,1,"D-N average",2.40682,2.14796,6,2,496.34,433.388,6,454.813
P0810MV,P0810,1,0.5,"D-N average",1.70297,1.23465,6,1,357.423,264.411,6,277.482
P0810MV,P0810,1,0.2,"D-N average",1.52255,1.07384,6,1,323.508,238.429,6,250.216
P0810MV,P0810,1,Total,"D-N average",8.40613,5.15573,6,5,1757.16,1113.73,6,1168.79
P0810MV,P0810,2,5,Day,0.485103,0.19582,4,0,81.0684,30.4687,4,48.4825
P0810MV,P0810,2,2,Day,0.59867,0.460761,4,1,149.505,90.9157,4,144.667
P0810MV,P0810,2,1,Day,1.22237,0.254444,4,0,219.671,42.1279,4,67.0349
P0810MV,P0810,2,0.5,Day,1.36848,0.600203,4,1,291.81,118.309,4,188.257
P0810MV,P0810,2,0.2,Day,1.12078,0.269916,4,0,213.394,43.539,4,69.2803
P0810MV,P0810,2,Total,Day,4.79541,1.47812,4,2,955.447,272.965,4,434.349
P0810MV,P0810,2,5,Night,0.245972,0.100703,3,0,51.7824,13.5883,3,33.7553
P0810MV,P0810,2,2,Night,1.49886,0.251797,3,1,330.085,77.8109,3,193.293
P0810MV,P0810,2,1,Night,3.02347,0.33445,3,1,658.731,69.107,3,171.671
P0810MV,P0810,2,0.5,Night,2.02976,0.336524,3,1,447.297,106.133,3,263.649
P0810MV,P0810,2,0.2,Night,2.33673,0.557162,3,1,503.093,82.1781,3,204.142
P0810MV,P0810,2,Total,Night,9.13479,1.03285,3,3,1990.99,227.996,3,566.374
P0810MV,P0810,2,5,"D-N average",0.404338,0.266024,7,0,68.5173,27.7627,7,25.6762
P0810MV,P0810,2,2,"D-N average",1.18518,0.71805,7,1,226.896,124.37,7,115.023
P0810MV,P0810,2,1,"D-N average",1.9421,0.99423,7,1,407.839,239.912,7,221.881
P0810MV,P0810,2,0.5,"D-N average",1.81376,1.02006,7,1,358.447,132.894,7,122.906
P0810MV,P0810,2,0.2,"D-N average",1.80912,0.932032,7,1,337.551,164.857,7,152.467
P0810MV,P0810,2,Total,"D-N average",7.1545,3.65826,7,3,1399.25,600.805,7,555.652
P0810MV,P0810,3,5,Day,0.555142,0.320754,2,3,111.89,64.0455,2,575.426
P0810MV,P0810,3,2,Day,1.09243,0.569345,2,5,220.223,113.543,2,1020.14
P0810MV,P0810,3,1,Day,2.44329,0.141963,2,1,493.28,25.4788,2,228.918
P0810MV,P0810,3,0.5,Day,1.33441,0.00326471,2,0,269.454,1.08174,2,9.719
P0810MV,P0810,3,0.2,Day,3.04005,0.343097,2,3,613.653,65.3153,2,586.834
P0810MV,P0810,3,Total,Day,8.46532,1.37842,2,12,1708.5,267.301,2,2401.6
P0810MV,P0810,3,5,Night,2.0804,0.484739,2,4,381.73,114.541,2,1029.11
P0810MV,P0810,3,2,Night,3.09267,0.86015,2,8,557.474,117.447,2,1055.22
P0810MV,P0810,3,1,Night,4.80147,2.80001,2,25,856.235,448.919,2,4033.38
P0810MV,P0810,3,0.5,Night,5.51098,2.25571,2,20,988.819,340.875,2,3062.64
P0810MV,P0810,3,0.2,Night,4.34791,0.699455,2,6,786.962,72.3226,2,649.793
P0810MV,P0810,3,Total,Night,19.8334,6.13059,2,55,3571.22,865.023,2,7771.92
P0810MV,P0810,3,5,"D-N average",1.31777,0.942386,4,1,246.81,173.239,4,275.661
P0810MV,P0810,3,2,"D-N average",2.09255,1.29935,4,2,388.848,216.351,4,344.263
P0810MV,P0810,3,1,"D-N average",3.62238,2.11512,4,3,674.757,333.623,4,530.869
P0810MV,P0810,3,0.5,"D-N average",3.42269,2.74056,4,4,629.136,459.595,4,731.318
P0810MV,P0810,3,0.2,"D-N average",3.69398,0.87891,4,1,700.308,114.794,4,182.662
P0810MV,P0810,3,Total,"D-N average",14.1494,7.49929,4,12,2639.86,1195.75,4,1902.7
P0810MV,P0810,4,5,Day,0.609471,0.515638,2,5,117.134,102.94,2,924.877
P0810MV,P0810,4,2,Day,0.95817,0.65594,2,6,183.391,132.743,2,1192.65
P0810MV,P0810,4,1,Day,0.932996,0.0458297,2,0,175.665,17.7715,2,159.671
P0810MV,P0810,4,0.5,Day,0.86929,0.217296,2,2,164.527,49.3889,2,443.741
P0810MV,P0810,4,0.2,Day,1.72903,1.76147,2,16,333.767,348.189,2,3128.35
P0810MV,P0810,4,Total,Day,5.09896,3.19617,2,29,974.483,651.032,2,5849.29
P0810MV,P0810,4,5,Night,,,,,,,,
P0810MV,P0810,4,2,Night,,,,,,,,
P0810MV,P0810,4,1,Night,,,,,,,,
P0810MV,P0810,4,0.5,Night,,,,,,,,
P0810MV,P0810,4,0.2,Night,,,,,,,,
P0810MV,P0810,4,Total,Night,,,,,,,,
P0810MV,P0810,4,5,"D-N average",,,,,,,,
P0810MV,P0810,4,2,"D-N average",,,,,,,,
P0810MV,P0810,4,1,"D-N average",,,,,,,,
P0810MV,P0810,4,0.5,"D-N average",,,,,,,,
P0810MV,P0810,4,0.2,"D-N average",,,,,,,,
P0810MV,P0810,4,Total,"D-N average",,,,,,,,
P1106MV,P1106,1,5,Day,1.13055,0.532455,2,5,244.293,97.0664,2,872.107
P1106MV,P1106,1,2,Day,7.95941,9.79641,2,88,1665.78,2015.68,2,18110.2
P1106MV,P1106,1,1,Day,2.525,0.699405,2,6,549.993,108.89,2,978.342
P1106MV,P1106,1,0.5,Day,1.65024,0.925931,2,8,355.258,174.448,2,1567.35
P1106MV,P1106,1,0.2,Day,2.30238,0.291648,2,3,509.816,105.451,2,947.444
P1106MV,P1106,1,Total,Day,15.5676,11.6626,2,105,3325.14,2290.64,2,20580.5
P1106MV,P1106,1,5,Night,6.67445,1.57659,2,14,1363.85,192.504,2,1729.58
P1106MV,P1106,1,2,Night,8.45426,0.215683,2,2,1745.33,124.361,2,1117.34
P1106MV,P1106,1,1,Night,3.64385,0.991707,2,9,743.271,132.17,2,1187.5
P1106MV,P1106,1,0.5,Night,2.21817,1.04874,2,9,468.971,261.099,2,2345.88
P1106MV,P1106,1,0.2,Night,1.71268,0.0706113,2,1,354.715,48.82,2,438.63
P1106MV,P1106,1,Total,Night,22.7034,1.66463,2,15,4676.14,109.606,2,984.774
P1106MV,P1106,1,5,"D-N average",3.9025,3.34185,4,5,804.071,658.252,4,1047.43
P1106MV,P1106,1,2,"D-N average",8.20683,5.66454,4,9,1705.55,1166.87,4,1856.75
P1106MV,P1106,1,1,"D-N average",3.08443,0.95297,4,2,646.632,149.089,4,237.233
P1106MV,P1106,1,0.5,"D-N average",1.9342,0.871731,4,1,412.114,192.817,4,306.815
P1106MV,P1106,1,0.2,"D-N average",2.00753,0.382005,4,1,432.265,111.892,4,178.046
P1106MV,P1106,1,Total,"D-N average",19.1355,7.95207,4,13,4000.64,1536.69,4,2445.21
P1106MV,P1106,2,5,Day,0.327574,,1,,70.6911,,1,
P1106MV,P1106,2,2,Day,0.720225,,1,,155.426,,1,
P1106MV,P1106,2,1,Day,0.264441,,1,,57.0669,,1,
P1106MV,P1106,2,0.5,Day,0.511261,,1,,110.331,,1,
P1106MV,P1106,2,0.2,Day,0.475775,,1,,102.673,,1,
P1106MV,P1106,2,Total,Day,2.29928,,1,,496.188,,1,
P1106MV,P1106,2,5,Night,1.50322,0.19789,2,2,327.557,37.1084,2,333.406
P1106MV,P1106,2,2,Night,1.62275,0.33731,2,3,353.354,67.0434,2,602.361
P1106MV,P1106,2,1,Night,0.73295,0.158681,2,1,159.587,31.6622,2,284.473
P1106MV,P1106,2,0.5,Night,0.515718,0.0985383,2,1,112.315,19.4173,2,174.457
P1106MV,P1106,2,0.2,Night,0.425484,0.0313393,2,0,92.7644,5.12056,2,46.0064
P1106MV,P1106,2,Total,Night,4.80012,0.823759,2,7,1045.58,160.352,2,1440.7
P1106MV,P1106,2,5,"D-N average",1.11134,0.693031,3,2,241.935,150.605,3,374.123
P1106MV,P1106,2,2,"D-N average",1.32191,0.573068,3,1,287.378,123.717,3,307.33
P1106MV,P1106,2,1,"D-N average",0.57678,0.292843,3,1,125.414,63.2828,3,157.203
P1106MV,P1106,2,0.5,"D-N average",0.514232,0.0697246,3,0,111.654,13.7778,3,34.2259
P1106MV,P1106,2,0.2,"D-N average",0.442248,0.0365258,3,0,96.0674,6.77038,3,16.8186
P1106MV,P1106,2,Total,"D-N average",3.96651,1.55693,3,4,862.448,336.847,3,836.774
P1106MV,P1106,3,5,Day,1.49094,0.304556,2,3,331.596,70.1557,2,630.324
P1106MV,P1106,3,2,Day,6.48654,3.17483,2,29,1438.92,694.813,2,6242.65
P1106MV,P1106,3,1,Day,7.53946,6.98145,2,63,1681.34,1564.04,2,14052.3
P1106MV,P1106,3,0.5,Day,2.53375,0.281892,2,3,562.862,58.4461,2,525.117
P1106MV,P1106,3,0.2,Day,1.61071,0.559686,2,5,358.424,127.054,2,1141.53
P1106MV,P1106,3,Total,Day,19.6614,4.38896,2,39,4373.14,1007.99,2,9056.44
P1106MV,P1106,3,5,Night,2.8741,,1,,647.687,,1,
P1106MV,P1106,3,2,Night,10.5624,,1,,2380.26,,1,
P1106MV,P1106,3,1,Night,12.5243,,1,,2822.38,,1,
P1106MV,P1106,3,0.5,Night,2.69515,,1,,607.36,,1,
P1106MV,P1106,3,0.2,Night,1.10643,,1,,249.337,,1,
P1106MV,P1106,3,Total,Night,29.7624,,1,,6707.03,,1,
P1106MV,P1106,3,5,"D-N average",1.952,0.827097,3,2,436.96,189.118,3,469.794
P1106MV,P1106,3,2,"D-N average",7.84516,3.25227,3,8,1752.7,732.636,3,1819.97
P1106MV,P1106,3,1,"D-N average",9.20107,5.71429,3,14,2061.69,1287.29,3,3197.79
P1106MV,P1106,3,0.5,"D-N average",2.58755,0.220034,3,1,577.695,48.6622,3,120.884
P1106MV,P1106,3,0.2,"D-N average",1.44262,0.491314,3,1,322.062,109.718,3,272.554
P1106MV,P1106,3,Total,"D-N average",23.0284,6.60615,3,16,5151.1,1524.37,3,3786.74
P1106MV,P1106,4,5,Day,1.02842,0.0133599,2,0,228,3.06875,2,27.5717
P1106MV,P1106,4,2,Day,4.25511,0.865774,2,8,943.306,191.498,2,1720.55
P1106MV,P1106,4,1,Day,2.49909,0.070787,2,1,554.048,15.9531,2,143.333
P1106MV,P1106,4,0.5,Day,2.02646,0.153956,2,1,449.27,34.3423,2,308.554
P1106MV,P1106,4,0.2,Day,2.70489,0.433732,2,4,599.648,95.8765,2,861.417
P1106MV,P1106,4,Total,Day,12.514,1.0614,2,10,2774.27,234.011,2,2102.5
P1106MV,P1106,4,5,Night,9.06249,5.05662,2,45,2038.11,1114.82,2,10016.3
P1106MV,P1106,4,2,Night,3.37326,3.15761,2,28,756.764,702.838,2,6314.75
