studyName,cruise,cycle,"size_fraction  (mm)",day_night,"biomass_mean (mg/m³)","biomass_std (mg/m³)",biomass_n,"biomass_95cl (mg/m³)","int_biomass_mean (mg/m²)","int_biomass_std (mg/m²)",int_biomass_n,"int_biomass_95cl (mg/m²)"
P0605KN,P0605,1,5,Day,1.41176,1.34006,4,2,299.862,285.458,4,454.227
P0605KN,P0605,1,2,Day,2.98628,1.8418,4,3,636.188,395.221,4,628.884
P0605KN,P0605,1,1,Day,6.75085,7.7841,4,12,1424.55,1630.87,4,2595.08
P0605KN,P0605,1,0.5,Day,3.23245,1.27091,4,2,685.232,263.14,4,418.715
P0605KN,P0605,1,0.2,Day,3.23244,0.971261,4,2,685.628,199.96,4,318.181
P0605KN,P0605,1,Total,Day,17.6138,9.23857,4,15,3731.46,1920.75,4,3056.34
P0605KN,P0605,1,5,Night,2.35316,2.58665,4,4,499.087,548.144,4,872.22
P0605KN,P0605,1,2,Night,4.49578,3.847,4,6,949.922,809.177,4,1287.58
P0605KN,P0605,1,1,Night,4.39162,2.95327,4,5,929.57,626.59,4,997.045
P0605KN,P0605,1,0.5,Night,4.30818,0.873053,4,1,912.008,185.387,4,294.991
P0605KN,P0605,1,0.2,Night,2.37102,0.829914,4,1,502.274,176.015,4,280.079
P0605KN,P0605,1,Total,Night,17.9197,6.77599,4,11,3792.86,1439.64,4,2290.78
P0605KN,P0605,1,5,"D-N average",1.88246,1.97238,8,2,399.475,418.369,8,349.765
P0605KN,P0605,1,2,"D-N average",3.74103,2.90645,8,2,793.055,612.927,8,512.42
P0605KN,P0605,1,1,"D-N average",5.57123,5.59431,8,5,1177.06,1173.95,8,981.443
P0605KN,P0605,1,0.5,"D-N average",3.77032,1.16169,8,1,798.62,243.101,8,203.238
P0605KN,P0605,1,0.2,"D-N average",2.80173,0.954719,8,1,593.951,200.048,8,167.244
P0605KN,P0605,1,Total,"D-N average",17.7668,7.50222,8,6,3762.16,1571.76,8,1314.03
P0605KN,P0605,2,5,Day,0.0412363,0.00157288,5,0,8.72701,0.317621,5,0.394378
P0605KN,P0605,2,2,Day,0.168903,0.0772693,5,0,35.6856,16.1553,5,20.0594
P0605KN,P0605,2,1,Day,0.544452,0.221261,5,0,115.2,46.6996,5,57.9852
P0605KN,P0605,2,0.5,Day,1.35167,0.515955,5,1,286.077,109.004,5,135.346
P0605KN,P0605,2,0.2,Day,1.60811,0.666577,5,1,340.161,140.665,5,174.658
P0605KN,P0605,2,Total,Day,3.71438,1.38456,5,2,785.851,292.172,5,362.78
P0605KN,P0605,2,5,Night,0.579157,0.324316,6,0,123.176,69.5504,6,72.9886
P0605KN,P0605,2,2,Night,0.82568,0.325469,6,0,175.513,59.8445,6,62.803
P0605KN,P0605,2,1,Night,1.51835,0.529021,6,1,323.051,107.884,6,113.217
P0605KN,P0605,2,0.5,Night,1.74949,0.717095,6,1,372.61,163.799,6,171.896
P0605KN,P0605,2,0.2,Night,1.84195,0.444507,6,0,392.809,102.389,6,107.45
P0605KN,P0605,2,Total,Night,6.51463,1.79049,6,2,1387.16,369.137,6,387.385
P0605KN,P0605,2,5,"D-N average",0.334648,0.368444,11,0,77.3841,76.5386,11,51.4193
P0605KN,P0605,2,2,"D-N average",0.527145,0.421622,11,0,120.45,87.7585,11,58.957
P0605KN,P0605,2,1,"D-N average",1.07567,0.675267,11,0,236.22,136.188,11,91.4926
P0605KN,P0605,2,0.5,"D-N average",1.56866,0.647634,11,0,333.142,134.009,11,90.0286
P0605KN,P0605,2,0.2,"D-N average",1.73566,0.509129,11,0,362.6,113.482,11,76.2382
P0605KN,P0605,2,Total,"D-N average",5.24179,2.23494,11,2,1129.8,445.839,11,299.519
P0605KN,P0605,3,5,Day,0.0110143,0.0115604,3,0,0.806765,1.33944,3,3.32736
P0605KN,P0605,3,2,Day,0.0733242,0.0336583,3,0,5.00595,3.95122,3,9.81539
P0605KN,P0605,3,1,Day,0.259546,0.103872,3,0,17.1146,13.7187,3,34.0791
P0605KN,P0605,3,0.5,Day,2.11237,0.49698,3,1,138.793,74.2023,3,184.329
P0605KN,P0605,3,0.2,Day,9.19435,2.85628,3,7,558.371,103.346,3,256.727
P0605KN,P0605,3,Total,Day,11.6506,2.61387,3,6,720.092,125.659,3,312.154
P0605KN,P0605,3,5,Night,0.0857996,0.114068,4,0,7.79111,10.8692,4,17.2953
P0605KN,P0605,3,2,Night,2.9879,3.29129,4,5,268.755,299.094,4,475.925
P0605KN,P0605,3,1,Night,4.56647,4.2563,4,7,401.813,387.308,4,616.293
P0605KN,P0605,3,0.5,Night,13.8304,10.6208,4,17,1212.07,1042.56,4,1658.95
P0605KN,P0605,3,0.2,Night,11.7096,2.40327,4,4,968.775,287.959,4,458.207
P0605KN,P0605,3,Total,Night,33.1802,18.7094,4,30,2859.21,1905.2,4,3031.61
P0605KN,P0605,3,5,"D-N average",0.0537488,0.0902678,7,0,4.91307,8.51779,7,7.87764
P0605KN,P0605,3,2,"D-N average",1.7388,2.80067,7,3,156.435,253.69,7,234.624
P0605KN,P0605,3,1,"D-N average",2.72065,3.78966,7,4,239.387,340.742,7,315.134
P0605KN,P0605,3,0.5,"D-N average",8.80838,9.7834,7,9,771.923,920.144,7,850.992
P0605KN,P0605,3,0.2,"D-N average",10.6316,2.72302,7,3,872.655,243.705,7,225.39
P0605KN,P0605,3,Total,"D-N average",23.9532,17.5993,7,16,2045.31,1688.37,7,1561.48
P0605KN,P0605,4,5,Day,0.2372,0.412862,4,1,49.3375,85.71,4,136.384
P0605KN,P0605,4,2,Day,0.309835,0.191717,4,0,65.3796,40.8113,4,64.9399
P0605KN,P0605,4,1,Day,0.715044,0.265824,4,0,150.167,54.9716,4,87.4721
P0605KN,P0605,4,0.5,Day,2.6362,1.1635,4,2,552.762,238.746,4,379.899
P0605KN,P0605,4,0.2,Day,2.96562,1.01626,4,2,622.781,209.203,4,332.889
P0605KN,P0605,4,Total,Day,6.8639,2.74198,4,4,1440.43,563.235,4,896.232
P0605KN,P0605,4,5,Night,0.493901,0.438102,3,1,104.721,92.8219,3,230.582
P0605KN,P0605,4,2,Night,0.977886,0.486201,3,1,208.096,101.332,3,251.723
P0605KN,P0605,4,1,Night,2.86876,1.06813,3,3,613.882,230.373,3,572.277
P0605KN,P0605,4,0.5,Night,7.38334,3.73549,3,9,1577.14,789.097,3,1960.22
P0605KN,P0605,4,0.2,Night,2.75932,1.0436,3,3,587.864,215.744,3,535.938
P0605KN,P0605,4,Total,Night,14.4832,5.63652,3,14,3091.7,1180.92,3,2933.58
P0605KN,P0605,4,5,"D-N average",0.347215,0.409918,7,0,73.0733,86.1479,7,79.6735
P0605KN,P0605,4,2,"D-N average",0.596143,0.474012,7,0,126.544,100.374,7,92.8304
P0605KN,P0605,4,1,"D-N average",1.63807,1.31944,7,1,348.902,283.97,7,262.628
P0605KN,P0605,4,0.5,"D-N average",4.67069,3.43029,7,3,991.782,732.033,7,677.018
P0605KN,P0605,4,0.2,"D-N average",2.87721,0.944237,7,1,607.816,194.285,7,179.683
P0605KN,P0605,4,Total,"D-N average",10.1293,5.56203,7,5,2148.12,1184.29,7,1095.28
P0605KN,P0605,5,5,Day,0.0709994,0.0226739,4,0,15.0376,4.89323,4,7.78622
P0605KN,P0605,5,2,Day,0.127498,0.0529703,4,0,26.8846,10.8785,4,17.3101
P0605KN,P0605,5,1,Day,0.247379,0.0793399,4,0,52.3662,16.8239,4,26.7706
P0605KN,P0605,5,0.5,Day,0.586791,0.303709,4,0,124.225,64.9901,4,103.414
P0605KN,P0605,5,0.2,Day,0.380352,0.0606333,4,0,80.395,11.987,4,19.074
P0605KN,P0605,5,Total,Day,1.41302,0.378414,4,1,298.908,80.0883,4,127.438
P0605KN,P0605,5,5,Night,0.27521,0.380714,4,1,58.0105,79.9631,4,127.239
P0605KN,P0605,5,2,Night,0.799515,0.194943,4,0,169.384,40.2835,4,64.1001
P0605KN,P0605,5,1,Night,2.02456,0.450444,4,1,429.121,93.1021,4,148.146
P0605KN,P0605,5,0.5,Night,1.72188,0.420709,4,1,365.534,91.0007,4,144.802
P0605KN,P0605,5,0.2,Night,0.753907,0.0685498,4,0,159.849,13.463,4,21.4226
